batter_id,player_age,season,is_playing,bbe,at_bats,plate_apps,games,bbe_prev,at_bats_prev,plate_apps_prev,is_first_year,train
-171896,22.749425035593035,1950,1,112,131,160,85,0,0,0,True,True
-171851,26.59347278501807,1950,1,347,423,526,119,0,0,0,True,True
-171835,23.63377505202059,1950,1,92,98,112,37,0,0,0,True,False
-171792,21.15321432482751,1950,1,295,332,382,117,0,0,0,True,True
-171599,24.29361515715694,1950,1,84,91,101,35,0,0,0,True,True
-171531,28.228014456247944,1950,1,598,640,690,158,0,0,0,True,True
-171483,23.19296900668054,1950,1,314,384,441,123,0,0,0,True,True
-171418,22.42908772314095,1950,1,454,472,520,134,0,0,0,True,True
-171274,26.023984229547693,1950,1,12,15,15,6,0,0,0,True,True
-171171,31.59566312561603,1950,1,187,204,226,67,0,0,0,True,True
-171091,29.00284744277735,1950,1,512,539,679,156,0,0,0,True,True
-171065,29.304019274997263,1950,1,501,543,629,148,0,0,0,True,True
-171058,33.668272916438504,1950,1,277,298,332,93,0,0,0,True,True
-170972,24.975358668272914,1950,1,553,614,675,158,0,0,0,True,True
-170931,33.506735297338736,1950,1,479,548,621,147,0,0,0,True,True
-170884,26.875479137005804,1950,1,124,147,161,52,0,0,0,True,True
-170883,31.332822253860474,1950,1,100,114,124,42,0,0,0,True,True
-170847,34.82093965611652,1950,1,459,557,643,145,0,0,0,True,True
-170726,27.329974811083122,1950,1,499,577,628,140,0,0,0,True,False
-170593,32.14598620085423,1950,1,561,605,684,154,0,0,0,True,False
-170587,26.46205234914029,1950,1,446,519,628,147,0,0,0,True,True
-170560,33.29317708903734,1950,1,537,607,703,145,0,0,0,True,True
-170559,35.510896944474865,1950,1,508,542,625,143,0,0,0,True,True
-170551,31.699704304019274,1950,1,553,596,646,147,0,0,0,True,True
-170536,27.3135472565984,1950,1,171,210,247,92,0,0,0,True,False
-170485,28.093856094622712,1950,1,603,622,675,160,0,0,0,True,True
-170464,24.75906253422407,1950,1,170,184,210,63,0,0,0,True,True
-170459,24.54276640017523,1950,1,202,226,250,84,0,0,0,True,True
-170306,28.39229000109517,1950,1,544,606,663,159,0,0,0,True,True
-170075,20.236009199430512,1950,1,238,263,283,82,0,0,0,True,True
-170048,30.752381995400285,1950,1,441,465,510,123,0,0,0,True,True
-169959,35.3904282115869,1950,1,364,396,433,121,0,0,0,True,True
-169933,19.79246522834301,1950,1,108,133,153,55,0,0,0,True,True
-169855,30.467637717665095,1950,1,89,105,132,39,0,0,0,True,True
-169845,27.48877450443544,1950,1,176,212,247,111,0,0,0,True,True
-169812,25.70638484284306,1950,1,499,539,621,158,0,0,0,True,True
-169810,27.98707699047202,1950,1,358,396,435,121,0,0,0,True,True
-169765,28.03362172817873,1950,1,330,378,416,107,0,0,0,True,True
-169693,26.95487898368196,1950,1,158,168,181,61,0,0,0,True,False
-169624,17.53367648669368,1950,1,6,6,6,3,0,0,0,True,True
-169578,34.13372029350564,1950,1,489,571,647,149,0,0,0,True,True
-169524,33.86266564450772,1950,1,232,264,310,85,0,0,0,True,True
-169487,29.29032964625999,1950,1,248,271,303,97,0,0,0,True,True
-169418,24.34837367210601,1950,1,493,541,622,145,0,0,0,True,True
-169322,28.5264483627204,1950,1,398,451,510,130,0,0,0,True,True
-169278,24.31004271164166,1950,1,64,69,72,35,0,0,0,True,True
-169212,23.390099660497206,1950,1,44,50,52,19,0,0,0,True,True
-169199,26.859051582521083,1950,1,22,24,26,10,0,0,0,True,True
-169100,25.350454495674075,1950,1,30,37,41,23,0,0,0,True,True
-169039,25.594129887197457,1950,1,267,286,330,98,0,0,0,True,True
-168802,32.86879859818202,1950,1,263,268,304,84,0,0,0,True,False
-168777,24.337421969116196,1950,1,233,264,284,88,0,0,0,True,False
-168767,26.842624028036358,1950,1,349,377,439,112,0,0,0,True,True
-168740,29.293067572007445,1950,1,10,11,12,4,0,0,0,True,True
-168689,32.844157266454935,1950,1,101,114,124,60,0,0,0,True,True
-168668,29.22188150257365,1950,1,20,25,30,11,0,0,0,True,True
-168586,21.54199978096594,1950,1,24,34,38,10,0,0,0,True,True
-168528,25.049282663454168,1950,1,604,616,677,156,0,0,0,True,True
-168494,33.07961888073596,1950,1,129,140,163,45,0,0,0,True,True
-168452,21.53652392947103,1950,1,388,435,471,115,0,0,0,True,True
-168380,29.39163289891578,1950,1,136,183,216,63,0,0,0,True,True
-168351,27.831015222867155,1950,1,386,428,473,117,0,0,0,True,True
-168349,28.61953783813383,1950,1,226,246,266,77,0,0,0,True,True
-168173,33.63541780746906,1950,1,182,192,230,86,0,0,0,True,True
-168102,26.158142591172926,1950,1,190,207,247,83,0,0,0,True,True
-168072,27.743401598948637,1950,1,110,114,132,40,0,0,0,True,True
-168066,23.198444858175446,1950,1,580,613,691,156,0,0,0,True,True
-168028,28.33479356039864,1950,1,239,289,343,101,0,0,0,True,True
-168008,43.16066148286058,1950,1,124,132,149,52,0,0,0,True,True
-167804,22.582411564998356,1950,1,359,384,412,105,0,0,0,True,False
-167797,22.125177965173584,1950,1,115,122,137,35,0,0,0,True,True
-167796,28.45800021903406,1950,1,329,359,407,119,0,0,0,True,True
-180173,27.924761800459972,1951,1,482,585,654,147,447,560,603,False,True
-180162,21.531048077976124,1951,1,8,12,12,5,0,0,0,True,True
-180161,32.08093308509473,1951,1,333,392,460,123,438,486,574,False,True
-180139,27.273135472565983,1951,1,35,42,51,26,12,14,15,False,True
-180125,22.98762457562151,1951,1,64,70,73,15,0,0,0,True,True
-180124,26.349797393494686,1951,1,574,626,691,151,0,0,0,True,True
-180108,24.62829920052568,1951,1,526,582,734,158,526,591,754,False,True
-180061,31.883802431278063,1951,1,495,551,613,146,486,525,587,False,True
-180039,27.68590515825211,1951,1,56,65,78,29,0,0,0,True,True
-180011,25.312780637389114,1951,0,0,0,0,0,4,5,5,False,True
-179991,28.787208410907894,1951,1,393,431,497,123,431,463,540,False,True
-179982,26.91172927390209,1951,1,291,341,376,112,321,381,424,False,True
-179889,22.229219143576827,1951,1,9,11,12,4,0,0,0,True,True
-179888,22.561165261198116,1951,1,0,0,0,0,4,6,8,False,True
-179885,27.51067791041507,1951,1,4,4,5,4,0,0,0,True,True
-179811,22.06220567298215,1951,1,51,62,66,24,0,0,0,True,True
-179810,23.573540685576607,1951,1,57,66,72,31,0,0,0,True,True
-179809,32.74898696747344,1951,1,498,544,692,152,323,345,429,False,True
-179755,32.26097908224729,1951,1,225,251,270,86,0,0,0,True,True
-179708,23.896615923776146,1951,1,8,11,11,4,0,0,0,True,True
-179653,28.502464133172708,1951,1,275,370,486,127,376,451,549,False,True
-179650,30.555908443763006,1951,1,390,459,503,126,412,492,551,False,True
-179637,26.30117183221991,1951,1,451,514,596,141,520,577,678,False,True
-179491,23.85072828824882,1951,1,0,0,0,0,251,294,329,False,True
-179425,25.03898806264374,1951,1,158,186,205,75,185,220,238,False,True
-179424,34.60256269849962,1951,1,26,27,29,8,142,155,173,False,True
-179391,31.735954440915563,1951,1,603,625,681,149,631,661,724,False,True
-179390,28.529843390647244,1951,1,80,88,99,29,258,289,328,False,False
-179354,29.679115102398423,1951,1,328,396,456,118,0,0,0,True,True
-179318,33.10491731464243,1951,1,514,560,617,145,390,430,505,False,True
-179307,22.916438506187713,1951,1,171,181,200,70,0,0,0,True,True
-179305,35.75796736392509,1951,0,0,0,0,0,38,43,50,False,False
